,Volume3d (mm^3) ,BaryCenterX (mm) ,BaryCenterY (mm) ,BaryCenterZ (mm) ,Anisotropy,Elongation,Flatness,VoxelFaceArea (mm^2),Sphericity,SurfaceParticles,Component 1,Component 2,PcaClusters
64,2.15399,-1237.99,-1243.5,-1703.01,0.629185,0.754557,0.491434,18.9509,0.4256148179691607,False,1.0954298625783894,1.0026407647702273,2
65,2.10846,-1250.47,-1256.48,-1666.34,0.68732,0.597981,0.522894,23.7729,0.3344867138756602,False,0.21059620165950738,0.0588090966053389,1
66,2.09733,-1260.04,-1242.14,-1665.96,0.603934,0.663882,0.596591,15.814000000000002,0.5010567333566444,False,1.6068813015403984,0.45927609564561184,2
67,2.07964,-1243.71,-1244.93,-1637.44,0.741252,0.371061,0.697319,19.7298,0.3993498721249333,False,0.1531894679572355,-1.2944850991939088,1
68,2.05733,-1247.83,-1246.52,-1676.76,0.96651,0.27782,0.120545,29.8601,0.2619764016738652,False,-3.2625810482834225,-0.2405214361384891,0
69,1.99502,-1246.09,-1244.81,-1663.15,0.74,0.612092,0.424772,24.9083,0.3076839714212946,False,-0.40504334860183616,0.3560593665388502,0
70,1.99399,-1249.54,-1257.13,-1696.44,0.842042,0.384156,0.411181,15.0068,0.5105183385560733,False,-0.7026625636727978,-0.15543713076523932,0
71,1.94783,-1253.07,-1240.96,-1679.62,0.476733,0.613893,0.852375,18.7102,0.4031249965518413,False,2.509871951729493,-0.7141538709266013,2
72,1.87923,-1247.4,-1254.59,-1718.87,0.765234,0.367598,0.638648,14.5861,0.5048916973789865,False,0.2528631954269751,-0.9182583933633823,1
73,1.87763,-1249.51,-1250.07,-1667.63,0.834924,0.494969,0.333508,15.331,0.4800874110146151,False,-0.7581081665693875,0.4838108327779706,0
74,1.80529,-1244.01,-1244.42,-1644.62,0.69041,0.389823,0.794182,18.559,0.3863321672326961,False,0.6721679218715447,-1.5310534513465242,1
75,1.78942,-1245.38,-1258.94,-1641.36,0.653003,0.402517,0.862067,13.9294,0.5117131441627363,False,1.5416540350847223,-1.4242820360408228,1
76,1.7825,-1244.01,-1263.13,-1650.85,0.858072,0.209542,0.677324,27.5915,0.2576688023267208,False,-1.386519766169534,-2.211154629834316,1
77,1.76699,-1244.54,-1246.73,-1698.77,0.817637,0.591683,0.308211,15.7488,0.44880675463624,False,-0.6538053857193433,0.904493427971632,0
78,1.76481,-1248.3,-1251.85,-1690.8,0.8279030000000001,0.66861,0.257394,13.7262,0.5145162621198361,False,-0.44851612142220093,1.5148357323678867,0
79,1.73387,-1250.27,-1248.93,-1714.71,0.713372,0.449293,0.637954,16.4256,0.424920062623413,False,0.40376844873260725,-0.7317794554114257,1
80,1.7319,-1250.81,-1248.07,-1668.53,0.882312,0.563206,0.20896,15.3023,0.4557667312523566,False,-1.2972855135363746,1.0940161017368113,0
81,1.68393,-1251.19,-1248.57,-1674.6,0.663952,0.524402,0.640821,13.0096,0.5261418774988778,False,1.2065174456217365,-0.21437001383651777,2
